street_id,street_address,latitude,longitude,ZEDZ(inside =1),pop_distribution,parcel_delivered(#/year),parcel_delivered(#/day),parcel_delivered(kg/day),USPS_Depot_name,USPS_Depot_parcel(kg),UPS_Depot_name,UPS_Depot_parcel(kg),Amazon_Depot_name,Amazon_Depot_Depot_parcel(kg),FedEX_Depot_name,FedEX_Depot_parcel(kg),USPS_ID,UPS_ID,Amazon_ID,FedEx_ID
84,"34th Street, Santa Monica, CA90405",34.025317,-118.452904,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-8,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-14,3.996621848,8,9,10,14
85,"3rd Street, Santa Monica, CA90401",34.0164092,-118.4967894,1,263.1253561,7367.509972,20.18495883,22.20345471,depot-5,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,5,9,10,11
86,"3rd Street, Santa Monica, CA90403",34.0164092,-118.4967894,1,263.1253561,7367.509972,20.18495883,22.20345471,depot-5,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,5,9,10,11
87,"3rd Street, Santa Monica, CA90405",34.0164092,-118.4967894,1,263.1253561,7367.509972,20.18495883,22.20345471,depot-5,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,5,9,10,11
88,"3rd Street Promenade, Santa Monica, CA90401",34.0164092,-118.4967894,1,263.1253561,7367.509972,20.18495883,22.20345471,depot-5,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,5,9,10,11
89,"3rd Street Promenade, Santa Monica, CA90403",34.0164092,-118.4967894,1,263.1253561,7367.509972,20.18495883,22.20345471,depot-5,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,5,9,10,11
90,"4th Avenue, Santa Monica, CA90401",34.021548,-118.500623,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-1,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,1,9,10,11
91,"4th Avenue, Santa Monica, CA90402",34.021548,-118.500623,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-1,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,1,9,10,11
92,"4th Avenue, Santa Monica, CA90403",34.021548,-118.500623,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-1,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,1,9,10,11
93,"4th Avenue, Santa Monica, CA90405",34.0096318,-118.4870584,1,263.1253561,7367.509972,20.18495883,22.20345471,depot-5,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,5,9,10,11
94,"4th Court, Santa Monica, CA90403",34.021548,-118.500623,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-1,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,1,9,10,11
95,"4th Street, Santa Monica, CA90401",34.021548,-118.500623,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-1,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,1,9,10,11
96,"4th Street, Santa Monica, CA90402",34.021548,-118.500623,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-1,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,1,9,10,11
97,"4th Street, Santa Monica, CA90403",34.021548,-118.500623,0,263.1253561,7367.509972,20.18495883,22.20345471,depot-1,8.437312789,depot-9,5.32882913,depot-10,4.662725489,depot-11,3.996621848,1,9,10,11
